gender05,age05,education05,hisp05,race05,income05,party05,marital05,Q9_05,Q10,Q5_05,Q7_05,Q6_05,gender13,age13,educaton13,hisp13,race13,income13,Q1_13,Q2_13,Q3_13,Q4_13,Q5_13,Q6_13,Q7_13,Q8_13,gender15,age15,education15,hisp15,race15,income15,party15,marital15,Q1_15,Q2_15,Q3_15,Q4_15,Q5_15,Q6_15,Q7_15,Q8_15
FEMALE,47,3,2,1,9,1,1,2, ,1,1,1,MALE,84,6,2,1,4,2, ,2,2,8,1,2,2,FEMALE,57,6,2,1,7,2,6,2,2,2,2,2,2,2,2
FEMALE,91,6,2,1,3,2,5,9, , , , ,MALE,73,4,2,1,3,2,2,1,1,1,1,2,1,MALE,19,3,2,1,2,2,6,2,2,2,2,2,2,2,2
FEMALE,28,1,2,1,6,1,1,2, ,2,1,2,MALE,67,8,2,1,99,2, ,1,1,1,2,2,8,MALE,28,3,2,1,3,1,6,2, ,2,2,1,1,2,2
MALE,19,1,9,4,1,5,1,2, , , , ,FEMALE,50,3,2,2,4,2,2,2,2,1,1,2,2,FEMALE,49,6,2,1,8,2,1,2, ,1,1,2,1,2,2
FEMALE,80,3,2,1,2,3,5,2, , , , ,MALE,54,6,2,1,9,2, ,1,2,9,9,2,9,FEMALE,45,5,2,1,4,1,6,1,2,2,2,1,1,2,2
MALE,60,6,2,1,6,1,1,2, ,8,8,8,MALE,84,3,2,4,2, , ,2,2,2,2,8,1,FEMALE,75,2,2,1,1,3,5,2, ,2,8,1,1,2,1
MALE,44,2,2,2,1,9,6,2, , , , ,MALE,47,3,2,2,4,2, ,2,2,1,1,2,1,MALE,60,2,2,1,2,2,2,2,2,2,2,2,2,2,2
FEMALE,53,7,2,1,9,3,6,2, ,1,2,1,FEMALE,29,3,2,1,4,2,2,2,2,1,2,1,1,FEMALE,52,5,2,2,4,2,6,2, ,2,2,2,1,2,1
MALE,77,7,2,1,6,2,1,2, , , , ,FEMALE,51,7,2,1,7,2,2,1,2,2,2,2,1,MALE,58,3,2,1,3,1,1,2, ,2,2,1,2,1,1
MALE,28,6,2,1,6,2,6,1,1,2,2,2,FEMALE,72,6,2,1,8,2,2,2,2,1,2,2,2,FEMALE,67,3,2,1,4,9,1,2,2,2,2,2,2,2,2
FEMALE,23,3,2,1,1,4,6,2, ,2,1,1,FEMALE,87,3,2,1,99, , ,2,2,1,8,2,8,FEMALE,80,5,2,1,3,1,5,2, ,2,2,1,2,1,1
MALE,25,3,2,1,3,3,1,2, ,2,1,2,FEMALE,77,4,2,1,2, , ,2,2,2,2,2,1,FEMALE,73,4,2,1,5,3,1,2, ,1,1,1,1,2,2
MALE,79,7,2,1,6,3,1,2, , , , ,FEMALE,76,8,2,4,5,2, ,1,1,2,1,2,2,FEMALE,19,4,1,1,4,2,6,2,1,2,2,1,1,2,1
FEMALE,40,6,2,1,4,2,6,2, ,2,2,1,FEMALE,45,8,1,1,8,2,2,1,1,8,1,2,2,MALE,70,3,2,1,5,1,1,2, ,2,2,2,2,1,1
MALE,31,5,2,1,3,3,1,2, ,2,8,1,FEMALE,60,8,2,1,8,2, ,1,1,1,1,2,2,MALE,25,5,2,1,99,9,6,2,2,1,1,1,1,2,2
FEMALE,28,5,2,1,4,3,1,2, ,8,2,1,FEMALE,92,3,2,1,99, , ,2,2,2,2,1,1,MALE,81,8,2,1,9,5,1,2,2,2,2,8,2,8,8
MALE,37,4,2,1,8,3,1,2, ,2,8,2,FEMALE,67,3,2,2,4,2, ,2,2,1,2,1,1,FEMALE,75,8,2,1,98,2,6,2,2,2,2,2,2,2,8
MALE,47,5,2,1,4,3,1,2, ,1,2,1,MALE,74,8,2,1,8,2, ,1,1,8,8,8,8,MALE,51,6,2,1,7,3,1,2, ,2,2,1,1,2,2
FEMALE,67,6,2,1,7,1,1,2, ,2,2,2,MALE,74,3,2,1,6,1, ,2,1,1,1,2,2,FEMALE,73,6,2,1,8,3,1,2,2,1,1,1,1,2,1
FEMALE,62,5,2,1,2,2,5,2, , , , ,MALE,62,5,2,1,6,2, ,2,2,2,2,2,2,FEMALE,40,8,2,1,8,3,1,2,2,1,1,1,1,2,2
MALE,47,5,2,1,5,3,3,1,2, , , ,MALE,70,8,2,1,6,1, ,1,1,1,1,2,1,MALE,78,8,2,1,6,2,5,2, ,2,2,8,8,8,8
FEMALE,56,3,2,1,7,3,1,2, ,2,1,1,MALE,52,8,2,1,8,2, ,1,2,2,1,2,2,FEMALE,61,3,2,1,4,3,1,2, ,1,1,1,1,2,2
MALE,58,3,2,1,4,3,1,2, ,2,1,2,MALE,59,8,2,1,8,2,2,1,2,1,1,2,2,FEMALE,75,5,2,1,98,3,1,2, ,2,2,2,2,1,1
FEMALE,52,3,2,1,2,2,6,2, ,1,1,2,FEMALE,60,3,2,1,99,2, ,2,2,8,8,2,2,FEMALE,37,6,2,1,7,3,6,1,2,1,2,1,1,2,2
MALE,50,7,2,1,2,3,1,1,2,2,2,2,MALE,68,6,2,1,6, , ,2,2,1,1,2,1,FEMALE,56,3,2,1,1,1,3, , ,1,2,1,1,2,2
FEMALE,68,7,2,1,6,2,5,1,2,2,1,2,MALE,70,3,2,1,6,2, ,2,2,2,2,1,1,MALE,61,5,2,1,9,3,1,2,2,1,2,1,1,2,1
FEMALE,68,3,2,1,3,3,1,2, , , , ,MALE,62,4,2,1,99,2, ,2,2,2,2,2,1,FEMALE,60,3,2,1,3,2,5,2, ,2,2,1,2,1,1
FEMALE,55,5,2,1,6,3,1,2, ,2,2,2,FEMALE,53,5,2,1,9,2, ,1,2,1,1,2,2,FEMALE,27,1,2,1,5,8,1, , ,2,2,1,1,1,1
MALE,65,6,2,1,6,1,1,1,2,1,2,2,FEMALE,64,3,2,1,99,2, ,2,2,2,2,1,1,FEMALE,43,8,2,3,9,2,1,2,2,2,1,2,9,2,8
FEMALE,50,5,2,1,3,3,1,2, , , , ,FEMALE,67,98,2,1,5,2, ,1,2,1,2,2,2,FEMALE,72,3,2,1,5,1,1, ,2,2,2,2,2,1,8
MALE,54,7,2,1,8,3,1,1,2,1,2,2,FEMALE,86,6,2,2,3,2, ,1,2,1,2,2,2,FEMALE,99,99,9,9,99,2,9,2, ,1,2,1,8,2,9
FEMALE,80,5,2,9,9,3,5,2, , , , ,MALE,99,3,2,1,7,2, ,2,2,9,9,2,9,MALE,69,6,2,1,4,2,1,2, ,2,2,1,1,2,2
FEMALE,23,6,1,6,1,4,1,2, ,2,1,2,FEMALE,45,8,2,1,9,2,2,1,1,1,1,2,2,MALE,70,3,2,1,5,3,1, , ,2,2,1,1,2,1
FEMALE,68,7,2,1,3,3,3,1,1,1,2,1,FEMALE,47,6,2,2,6,2, ,8,2,2,2,2,1,MALE,45,8,2,9,9,2,1,2,2,2,1,1,8,2,2
FEMALE,76,3,2,1,9,1,5,2, , , , ,MALE,32,8,2,1,6,2,2,1,1,1,1,2,1,FEMALE,73,3,2,1,4,2,1, , ,2,2,1,1,2,2
FEMALE,49,5,2,1,2,4,1,1,1,2,1,2,FEMALE,34,8,2,2,7,2, ,2,2,1,1,2,2,FEMALE,82,4,1,2,3,2,5,2, ,1,1,1,2,2,2
MALE,49,3,2,1,9,1,1,1,2,2,2,1,MALE,27,4,2,5,2,2, ,1,2,8,1,2,1,MALE,72,4,2,1,6,1,1,2, ,2,2,1,1,2,1
FEMALE,52,3,2,1,4,9,1,2, ,2,1,1,FEMALE,65,4,2,2,2,2, ,2,2,2,2,2,1,FEMALE,66,8,1,1,5,9,5,2,2,2,2,1,2,2,2
MALE,39,5,2,1,6,1,1,1,1,1,2,2,FEMALE,21,3,2,1,98,2, ,2,2,2,1,2,1,FEMALE,67,5,2,1,6,1,1,2,2,2,2,1,2,8,2
MALE,50,9,2,1,1,1,6,2, , , , ,FEMALE,68,6,2,1,2,2, ,2,2,2,2,9,9,FEMALE,70,8,2,2,7,2,1,2, ,1,1,1,1,2,1
MALE,18,3,2,1,2,2,6,1,2,1,2,2,FEMALE,42,6,2,1,98,2, ,2,2,2,2,8,8,FEMALE,53,3,2,1,4,3,1, , ,2,2,1,2,2,2
MALE,47,3,2,1,3,1,3,2, , , , ,MALE,59,3,9,1,6,2, ,2,2,8,8,8,8,MALE,59,6,2,2,8,2,3,2,2,2,2,2,2,8,2
MALE,45,6,2,1,7,3,1,2, ,2,2,2,MALE,62,2,2,1,2, , ,2,2,2,2,8,2,MALE,83,3,2,1,98,1,1, , ,2,2,2,2,1,8
FEMALE,53,3,1,1,5,3,1,2, ,2,1,2,MALE,22,3,2,1,1, , ,2,2,1,2,2,1,MALE,75,8,2,1,99,1,1,2, ,2,2,9,9,9,9
MALE,58,7,2,1,8,2,4,2, ,2,1,8,FEMALE,81,6,2,1,98, , ,2,2,8,2,2,8,FEMALE,56,3,2,1,2,3,6, , ,2,2,2,2,2,2
MALE,50,5,2,1,6,1,1,2, ,2,1,2,FEMALE,49,1,1,1,1, , ,2,2,2,2,2,2,MALE,56,3,2,1,8,3,1,2,2,2,2,2,2,2,2
MALE,50,6,2,1,8,1,1,2, ,1,1,1,MALE,80,3,2,1,99,2, ,2,2,8,8,2,9,FEMALE,99,5,2,8,98,2,5,1, ,2,1,9,1,1,1
FEMALE,53,7,2,1,6,2,1,2, ,2,8,1,MALE,20,3,2,1,2,2, ,2,2,1,2,2,1,FEMALE,19,3,2,1,9,3,6,2,2,1,1,1,1,2,2
MALE,51,5,2,1,6,1,1,2, ,2,2,8,MALE,38,6,2,8,99,2,2,1,2,2,2,1,2,FEMALE,61,8,2,1,7,2,6,2,2,1,1,2,2,2,2
FEMALE,75,5,2,1,2,2,5,2, , , , ,MALE,60,3,2,2,1, , ,2,2,2,2,2,2,FEMALE,87,4,2,1,98,4,5,2, ,2,2,2,2,2,8
FEMALE,58,7,2,1,6,3,1,2, , , , ,MALE,59,8,2,1,9,2,2,2,1,8,8,2,8,MALE,91,4,2,1,3,1,1,2, ,2,2,1,1,2,2
FEMALE,46,5,1,6,4,2,1,1,1,1,1,1,FEMALE,68,3,2,1,6,2,2,2,2,2,1,1,8,FEMALE,54,5,2,1,9,1,1,2,2,2,2,8,1,2,2
FEMALE,53,3,2,1,3,2,1,1,2,1,8,1,FEMALE,83,5,2,1,99,2, ,2,2,2,1,1,1,FEMALE,51,6,1,1,6,2,3,2,2,2,2,1,2,2,1
FEMALE,78,6,2,1,3,4,1,2, , , , ,MALE,60,6,2,1,8,2,2,2,2,1,2,2,2,MALE,58,3,2,2,8,3,1,2,2,2,2,2,2,1,2
MALE,18,5,1,1,1,1,6,1,2,2,2,1,MALE,97,3,1,6,8,2, ,2,2,8,2,2,2,FEMALE,88,6,2,1,99,3,5, , ,2,2,1,1,2,8
FEMALE,92,5,2,2,1,1,5,2, , , , ,FEMALE,32,6,2,1,8,2,2,1,1,1,1,1,2,MALE,34,6,2,1,4,1,6,1,2,2,2,1,2,2,2
MALE,40,3,2,1,7,4,1,2, ,8,8,1,MALE,78,6,2,1,6,2,2,2,2,2,2,1,2,MALE,55,8,2,1,8,2,1,1,2,1,1,1,1,2,2
MALE,37,7,2,3,7,2,1,2, ,1,2,1,FEMALE,50,8,2,1,98,2, ,2,1,2,2,2,2,MALE,61,6,2,1,8,2,1,2,2,1,1,1,2,2,2
FEMALE,35,3,1,5,7,4,2,2, ,2,1,2,FEMALE,72,5,2,1,4, , ,1,1,2,2,2,2,MALE,73,8,2,1,6,1,1,2,2,2,2,1,2,1,1
MALE,43,3,1,1,5,2,1,2, ,2,1,2,FEMALE,77,7,2,1,9,2, ,2,2,8,8,2,2,FEMALE,51,5,2,1,2,4,3,1,2,2,1,1,2,2,2
FEMALE,73,6,2,1,2,1,5,1,1,8,2,8,FEMALE,54,98,1,1,2,2, ,2,2,2,2,1,2,MALE,67,6,2,1,1,3,3,1,2,1,1,2,2,2,2
